a_value,b_value
0.130000,0.363845
0.133333,0.365458
0.136667,0.368488
0.140000,0.339535
0.143333,0.289100
0.146667,0.369582
0.150000,0.367381
0.153333,0.377699
0.156667,0.290234
0.160000,0.363587
0.163333,0.353859
0.166667,0.401848
0.170000,0.380656
0.173333,0.304483
0.176667,0.286828
0.180000,0.410992
0.183333,0.408974
0.186667,0.296976
0.190000,0.355597
0.193333,0.352737
0.196667,0.403397
0.200000,0.331876
0.203333,0.323075
0.206667,0.401294
0.210000,0.464733
0.213333,0.488391
0.216667,0.391371
0.220000,0.318670
0.223333,0.491490
0.226667,0.370331
0.230000,0.499693
0.233333,0.436776
0.236667,0.432479
0.240000,0.400505
0.243333,0.462451
0.246667,0.371919
0.250000,0.493109
0.253333,0.477621
0.256667,0.429855
0.260000,0.491512
0.263333,0.460590
0.266667,0.434491
0.270000,0.445215
0.273333,0.550862
0.276667,0.509631
0.280000,0.377424
0.283333,0.448141
0.286667,0.407380
0.290000,0.439044
0.293333,0.481731
0.296667,0.387742
0.300000,0.407578
0.303333,0.588038
0.306667,0.544922
0.310000,0.410331
0.313333,0.442765
0.316667,0.451024
0.320000,0.568209
0.323333,0.449719
0.326667,0.607954
0.330000,0.576515
0.333333,0.591502
0.336667,0.583215
0.340000,0.574355
0.343333,0.533621
0.346667,0.505214
0.350000,0.556633
0.353333,0.462080
0.356667,0.615154
0.360000,0.647356
0.363333,0.621085
0.366667,0.476442
0.370000,0.499027
0.373333,0.654540
0.376667,0.602982
0.380000,0.651353
0.383333,0.646152
0.386667,0.586481
0.390000,0.543938
0.393333,0.644226
0.396667,0.540743
0.400000,0.522189
0.403333,0.540166
0.406667,0.694974
0.410000,0.650811
0.413333,0.564680
0.416667,0.560379
0.420000,0.644610
0.423333,0.612472
0.426667,0.606566
0.430000,0.560592
0.433333,0.640950
0.436667,0.635340
0.440000,0.657662
0.443333,0.746518
0.446667,0.676606
0.450000,0.666228
0.453333,0.659483
0.456667,0.707372
0.460000,0.759095
0.463333,0.643452
0.466667,0.599443
0.470000,0.657970
0.473333,0.627331
0.476667,0.725927
0.480000,0.798059
0.483333,0.670726
0.486667,0.644930
0.490000,0.698169
0.493333,0.798745
0.496667,0.673258
0.500000,0.684908
