a_value,b_value
-0.600000,0.134990
-0.586667,-0.012635
-0.573333,0.071700
-0.560000,0.094796
-0.546667,0.082455
-0.533333,0.172179
-0.520000,0.077670
-0.506667,0.102029
-0.493333,0.117458
-0.480000,0.005360
-0.466667,0.143837
-0.453333,0.093290
-0.440000,0.148823
-0.426667,0.144436
-0.413333,0.079033
-0.400000,0.015316
-0.386667,0.039787
-0.373333,0.166550
-0.360000,0.103406
-0.346667,0.080758
-0.333333,0.097309
-0.320000,0.070661
-0.306667,0.208619
-0.293333,0.177584
-0.280000,0.086160
-0.266667,0.047850
-0.253333,0.196158
-0.240000,0.150085
-0.226667,0.224438
-0.213333,0.103217
-0.200000,0.214828
-0.186667,0.193374
-0.173333,0.217759
-0.160000,0.253087
-0.146667,0.119462
-0.133333,0.149888
-0.120000,0.185670
-0.106667,0.214612
-0.093333,0.261718
-0.080000,0.193894
-0.066667,0.269043
-0.053333,0.149472
-0.040000,0.300086
-0.026667,0.296989
-0.013333,0.184287
0.000000,0.349385
0.013333,0.271390
0.026667,0.276208
0.040000,0.331243
0.053333,0.360104
0.066667,0.242795
0.080000,0.396225
0.093333,0.406198
0.106667,0.381624
0.120000,0.316408
0.133333,0.360758
0.146667,0.312182
0.160000,0.340587
0.173333,0.352083
0.186667,0.382676
0.200000,0.370576
0.213333,0.335191
0.226667,0.455531
0.240000,0.420005
0.253333,0.458021
0.266667,0.497691
0.280000,0.400824
0.293333,0.521331
0.306667,0.532622
0.320000,0.439109
0.333333,0.538902
0.346667,0.625114
0.360000,0.576556
0.373333,0.476041
0.386667,0.532481
0.400000,0.536689
0.413333,0.642580
0.426667,0.716366
0.440000,0.702562
0.453333,0.656683
0.466667,0.655743
0.480000,0.782959
0.493333,0.669445
0.506667,0.721819
0.520000,0.819797
0.533333,0.771696
0.546667,0.920935
0.560000,0.930031
0.573334,0.777004
0.586667,0.995073
0.600000,0.964258
0.613333,0.979379
0.626667,1.048457
0.640000,1.098715
0.653333,1.064574
0.666667,1.113558
0.680000,1.138290
0.693333,1.075494
0.706667,1.219796
0.720000,1.137821
0.733333,1.130596
0.746667,1.188148
0.760000,1.264405
0.773333,1.285195
0.786667,1.368249
0.800000,1.484897
0.813334,1.432470
0.826667,1.446401
0.840000,1.550522
0.853333,1.497568
0.866667,1.598073
0.880000,1.696175
0.893333,1.803410
0.906667,1.747917
0.920000,1.879334
0.933333,1.774903
0.946667,2.004464
0.960000,2.057161
0.973333,2.119637
0.986667,2.132739
1.000000,2.110611
1.013333,2.279104
1.026667,2.216065
1.040000,2.260345
1.053334,2.390398
1.066667,2.578076
1.080000,2.521733
1.093333,2.609328
1.106667,2.659819
1.120000,2.776865
1.133333,2.924429
1.146667,3.028174
1.160000,3.048965
1.173333,3.142270
1.186667,3.264858
1.200000,3.289401
1.213333,3.411070
1.226667,3.477143
1.240000,3.590495
1.253333,3.643008
1.266667,3.838162
1.280000,3.887342
1.293334,4.006638
1.306667,4.093534
1.320000,4.217324
1.333333,4.437602
1.346667,4.548166
1.360000,4.696616
1.373333,4.738854
1.386667,4.923086
1.400000,5.086221
1.413333,5.191171
1.426667,5.274550
1.440000,5.453679
1.453333,5.611277
1.466667,5.732870
1.480000,5.980788
1.493333,6.079463
1.506667,6.389730
1.520000,6.517832
1.533333,6.626611
1.546667,6.814920
1.560000,7.104204
1.573334,7.315125
1.586667,7.472243
1.600000,7.604325
1.613333,7.824243
1.626667,8.220370
1.640000,8.300989
1.653333,8.636287
1.666667,8.806953
1.680000,9.168186
1.693333,9.294987
1.706667,9.598065
1.720000,9.877436
1.733333,10.187418
1.746667,10.527039
1.760000,10.744232
1.773333,11.123837
1.786667,11.500507
1.800000,11.823586
1.813334,12.052338
1.826667,12.479134
1.840000,12.821449
1.853333,13.230468
1.866667,13.575084
1.880000,13.990897
1.893333,14.269318
1.906667,14.623964
1.920000,15.136463
1.933333,15.657553
1.946667,16.053478
1.960000,16.447598
1.973333,16.863577
1.986667,17.421894
2.000000,17.887636
